database_version,material_id,formula,composition_key,elements,n_elements,spacegroup_no,crystal_system,e_above_hull,band_gap,theoretical,icsd_ids,pauling_ids,last_updated
2026.04.13,mp-1001069,Li48P16S61,Li:0.38400000|P:0.12800000|S:0.48800000,Li;P;S,3,6,Monoclinic,0.018982198731428035,2.2955,True,,,2016-07-22 01:09:20+00:00
2026.04.13,mp-1020013,Li2S2O7,Li:0.18181818|O:0.63636364|S:0.18181818,Li;O;S,3,62,Orthorhombic,0.0,5.5360000000000005,False,icsd-188009,,2022-01-01 02:20:30.449000+00:00
2026.04.13,mp-1020018,Li5B(SO4)4,B:0.03846154|Li:0.19230769|O:0.61538462|S:0.15384615,B;Li;O;S,4,14,Monoclinic,0.008201061346153615,6.108199999999999,False,icsd-428002,,2021-02-16 08:02:26.609000+00:00
2026.04.13,mp-1020060,LiB(S2O7)2,B:0.05000000|Li:0.05000000|O:0.70000000|S:0.20000000,B;Li;O;S,4,19,Orthorhombic,0.0,5.51,False,icsd-425175,,2021-02-16 04:33:14.216000+00:00
2026.04.13,mp-1020106,LiB(SO4)2,B:0.08333333|Li:0.08333333|O:0.66666667|S:0.16666667,B;Li;O;S,4,7,Monoclinic,0.0,6.3873999999999995,False,icsd-425174,,2021-02-16 09:59:25.912000+00:00
2026.04.13,mp-1021497,Li2SiSnS4,Li:0.25000000|S:0.50000000|Si:0.12500000|Sn:0.12500000,Li;S;Si;Sn,4,121,Tetragonal,0.016868490312500484,1.9994999999999998,True,,,2020-11-11 01:12:17.875000+00:00
2026.04.13,mp-1040450,Li5P(S2Cl)2,Cl:0.16666667|Li:0.41666667|P:0.08333333|S:0.33333333,Cl;Li;P;S,4,38,Orthorhombic,0.016335492291666753,2.7792999999999997,True,,,2021-02-10 01:42:51.936000+00:00
2026.04.13,mp-1040451,Li20Si3P3S23Cl,Cl:0.02000000|Li:0.40000000|P:0.06000000|S:0.46000000|Si:0.06000000,Cl;Li;P;S;Si,5,6,Monoclinic,0.035331716299999094,2.3935999999999997,True,,,2021-02-06 01:42:26.514000+00:00
2026.04.13,mp-1080241,Li2Ge(S2O7)3,Ge:0.03333333|Li:0.06666667|O:0.70000000|S:0.20000000,Ge;Li;O;S,4,148,Trigonal,0.0,3.7659,True,,,2018-04-18 23:56:08+00:00
2026.04.13,mp-1097034,Li20Si3P3S23Cl,Cl:0.02000000|Li:0.40000000|P:0.06000000|S:0.46000000|Si:0.06000000,Cl;Li;P;S;Si,5,6,Monoclinic,0.03550452449999941,2.3724,True,,,2021-02-05 11:33:54.426000+00:00
2026.04.13,mp-1097035,Li20Si3P3S23Cl,Cl:0.02000000|Li:0.40000000|P:0.06000000|S:0.46000000|Si:0.06000000,Cl;Li;P;S;Si,5,6,Monoclinic,0.030538372299998784,2.3076,True,,,2021-02-05 08:22:11.795000+00:00
2026.04.13,mp-1097036,Li3PS4,Li:0.37500000|P:0.12500000|S:0.50000000,Li;P;S,3,62,Orthorhombic,0.013829766249999764,2.8219000000000003,True,,,2021-12-31 14:38:02.780000+00:00
2026.04.13,mp-1105750,LiAu(S2O7)2,Au:0.05000000|Li:0.05000000|O:0.70000000|S:0.20000000,Au;Li;O;S,4,2,Triclinic,0.0,1.9833021813679452,False,icsd-422909,,2021-02-05 09:42:56.991000+00:00
2026.04.13,mp-1106183,LiAlS2,Al:0.25000000|Li:0.25000000|S:0.50000000,Al;Li;S,3,33,Orthorhombic,0.0,4.7954,True,icsd-608360,,2021-03-13 18:38:09.969000+00:00
2026.04.13,mp-11175,LiZnPS4,Li:0.14285714|P:0.14285714|S:0.57142857|Zn:0.14285714,Li;P;S;Zn,4,82,Tetragonal,0.0,2.7311999999999994,False,icsd-95785,,2023-10-07 18:15:38.491000+00:00
2026.04.13,mp-1147554,LiLaSO,La:0.25000000|Li:0.25000000|O:0.25000000|S:0.25000000,La;Li;O;S,4,129,Tetragonal,0.008456593750000074,3.1807,True,,,2020-11-11 08:58:41.500000+00:00
2026.04.13,mp-1147591,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,3,Monoclinic,0.00896511353448215,2.6651,True,,,2020-04-29 14:56:25.886000+00:00
2026.04.13,mp-1147592,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,1,Triclinic,0.00993222086206913,2.5364000000000004,True,,,2020-05-02 02:52:50.760000+00:00
2026.04.13,mp-1147593,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,1,Triclinic,0.009921751379310173,2.4748,True,,,2020-04-29 21:17:16.893000+00:00
2026.04.13,mp-1147594,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,1,Triclinic,0.009746729913792329,2.8963,True,,,2023-03-18 07:41:03.162000+00:00
2026.04.13,mp-1147596,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,1,Triclinic,0.009770993965516617,2.5208999999999997,True,,,2020-04-29 17:04:37.598000+00:00
2026.04.13,mp-1147600,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,1,Triclinic,0.00923053189655132,2.6093,True,,,2020-04-29 09:59:44.152000+00:00
2026.04.13,mp-1147603,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,1,Triclinic,0.010206510689655168,2.5434,True,,,2020-05-02 03:03:26.958000+00:00
2026.04.13,mp-1147604,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,1,Triclinic,0.010170074741378876,2.5061,True,,,2020-04-29 14:11:04.084000+00:00
2026.04.13,mp-1147605,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,4,Monoclinic,0.0065711678448270305,2.6774999999999998,True,,,2021-02-22 00:13:54.308000+00:00
2026.04.13,mp-1147606,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,4,Monoclinic,0.007688271120689372,2.6809000000000003,True,,,2021-02-21 23:18:24.293000+00:00
2026.04.13,mp-1147609,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,1,Triclinic,0.010140386379309696,2.497,True,,,2018-12-27 11:38:32.355000+00:00
2026.04.13,mp-1147610,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,1,Triclinic,0.010139333706896458,2.6682999999999995,True,,,2020-04-30 02:33:20.681000+00:00
2026.04.13,mp-1147611,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,1,Triclinic,0.010204642327585667,2.5348,True,,,2018-12-27 11:38:37.301000+00:00
2026.04.13,mp-1147613,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,1,Triclinic,0.010071001982758787,2.5518,True,,,2020-04-29 22:48:10.455000+00:00
2026.04.13,mp-1147614,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,1,Triclinic,0.010103123793103741,2.6649,True,,,2020-04-29 23:59:31.292000+00:00
2026.04.13,mp-1147616,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,1,Triclinic,0.009985503362068826,2.5534000000000003,True,,,2020-04-29 12:26:26.107000+00:00
2026.04.13,mp-1147617,Li6Zn3(PS4)4,Li:0.20689655|P:0.13793103|S:0.55172414|Zn:0.10344828,Li;P;S;Zn,4,4,Monoclinic,0.009941809913793342,2.6824,True,,,2020-04-30 03:42:22.583000+00:00
2026.04.13,mp-1147627,Li10Zn7(PS4)8,Li:0.17543860|P:0.14035088|S:0.56140351|Zn:0.12280702,Li;P;S;Zn,4,1,Triclinic,0.0051426498684215005,2.6681,True,,,2021-02-05 20:14:45.413000+00:00
2026.04.13,mp-1147630,Li10Zn7(PS4)8,Li:0.17543860|P:0.14035088|S:0.56140351|Zn:0.12280702,Li;P;S;Zn,4,4,Monoclinic,0.006531479605262902,2.6864000000000003,True,,,2020-05-02 02:38:56.141000+00:00
2026.04.13,mp-1147634,Li10Zn7(PS4)8,Li:0.17543860|P:0.14035088|S:0.56140351|Zn:0.12280702,Li;P;S;Zn,4,1,Triclinic,0.007125566184210896,2.6370999999999998,True,,,2020-04-29 19:28:09.644000+00:00
2026.04.13,mp-1147681,Li10Zn(PS4)4,Li:0.32258065|P:0.12903226|S:0.51612903|Zn:0.03225806,Li;P;S;Zn,4,7,Monoclinic,0.007379458467742239,2.5017999999999994,True,,,2021-02-22 08:07:56.384000+00:00
2026.04.13,mp-1147684,Li10Zn(PS4)4,Li:0.32258065|P:0.12903226|S:0.51612903|Zn:0.03225806,Li;P;S;Zn,4,7,Monoclinic,0.007364474919355324,2.5761,True,,,2021-02-22 11:48:53.295000+00:00
2026.04.13,mp-1147685,Li10Zn(PS4)4,Li:0.32258065|P:0.12903226|S:0.51612903|Zn:0.03225806,Li;P;S;Zn,4,7,Monoclinic,0.007209804274193488,2.5073,True,,,2023-03-18 11:38:24.276000+00:00
2026.04.13,mp-1147686,Li10Zn(PS4)4,Li:0.32258065|P:0.12903226|S:0.51612903|Zn:0.03225806,Li;P;S;Zn,4,1,Triclinic,0.00751255685483887,2.4480000000000004,True,,,2021-02-21 14:15:18.673000+00:00
2026.04.13,mp-1147687,Li10Zn(PS4)4,Li:0.32258065|P:0.12903226|S:0.51612903|Zn:0.03225806,Li;P;S;Zn,4,7,Monoclinic,0.007094447661290637,2.5782000000000003,True,,,2021-02-21 23:09:26.221000+00:00
2026.04.13,mp-1147692,Li10Zn(PS4)4,Li:0.32258065|P:0.12903226|S:0.51612903|Zn:0.03225806,Li;P;S;Zn,4,1,Triclinic,0.006821347338710204,2.6896000000000004,True,,,2021-02-06 03:46:34.658000+00:00
2026.04.13,mp-1147693,Li10Zn(PS4)4,Li:0.32258065|P:0.12903226|S:0.51612903|Zn:0.03225806,Li;P;S;Zn,4,1,Triclinic,0.006423594112903608,2.7628000000000004,True,,,2021-02-08 21:05:42.566000+00:00
2026.04.13,mp-1147694,Li10Zn(PS4)4,Li:0.32258065|P:0.12903226|S:0.51612903|Zn:0.03225806,Li;P;S;Zn,4,1,Triclinic,0.005377182822581261,2.6990999999999996,True,,,2021-02-07 02:11:35.999000+00:00
2026.04.13,mp-1147695,Li10Zn(PS4)4,Li:0.32258065|P:0.12903226|S:0.51612903|Zn:0.03225806,Li;P;S;Zn,4,1,Triclinic,0.005069962822581431,2.7251,True,,,2021-02-07 02:25:33.416000+00:00
2026.04.13,mp-1147696,Li10Zn(PS4)4,Li:0.32258065|P:0.12903226|S:0.51612903|Zn:0.03225806,Li;P;S;Zn,4,1,Triclinic,0.0067693783064521895,2.5218000000000007,True,,,2021-02-06 15:41:31.308000+00:00
2026.04.13,mp-1147697,Li10Zn(PS4)4,Li:0.32258065|P:0.12903226|S:0.51612903|Zn:0.03225806,Li;P;S;Zn,4,1,Triclinic,0.007540467661290684,2.5244,True,,,2021-02-08 22:58:57.507000+00:00
2026.04.13,mp-1147698,Li10Zn(PS4)4,Li:0.32258065|P:0.12903226|S:0.51612903|Zn:0.03225806,Li;P;S;Zn,4,1,Triclinic,0.005642331854839533,2.718884345063006,True,,,2021-02-10 16:45:11.173000+00:00
2026.04.13,mp-1147721,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,4,Monoclinic,0.011160197166666386,2.7225,True,,,2021-02-09 06:30:01.681000+00:00
2026.04.13,mp-1147723,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,1,Triclinic,0.010870686833333032,2.7102000000000004,True,,,2021-02-08 06:41:16.984000+00:00
2026.04.13,mp-1147724,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,4,Monoclinic,0.00943524366666626,2.718,True,,,2021-02-22 05:57:06.629000+00:00
2026.04.13,mp-1147725,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,1,Triclinic,0.011662688166666157,2.6555000000000004,True,,,2021-02-08 06:41:16.763000+00:00
2026.04.13,mp-1147726,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,1,Triclinic,0.011910579944443889,2.3985,True,,,2021-02-07 03:49:51.957000+00:00
2026.04.13,mp-1147727,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,1,Triclinic,0.011836537055555318,2.6745,True,,,2021-02-08 08:12:46.489000+00:00
2026.04.13,mp-1147728,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,7,Monoclinic,0.01069993041666617,2.7622,True,,,2020-04-29 07:54:10.294000+00:00
2026.04.13,mp-1147729,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,1,Triclinic,0.011465264611111081,2.7876000000000003,True,,,2021-02-08 09:07:38.234000+00:00
2026.04.13,mp-1147732,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,1,Triclinic,0.011516444388888658,2.6636000000000006,True,,,2021-02-08 08:19:04.502000+00:00
2026.04.13,mp-1147733,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,1,Triclinic,0.011836717500000482,2.7862,True,,,2021-02-09 01:37:59.643000+00:00
2026.04.13,mp-1147734,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,1,Triclinic,0.01177052883333296,2.7069950982334774,True,,,2021-02-10 11:06:50.840000+00:00
2026.04.13,mp-1147735,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,1,Triclinic,0.010367655833333878,2.7908,True,,,2021-02-09 19:17:56.016000+00:00
2026.04.13,mp-1147737,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,1,Triclinic,0.011501505499999176,2.7368,True,,,2021-02-05 01:01:52.084000+00:00
2026.04.13,mp-1147738,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,1,Triclinic,0.01398713983333355,2.5355999999999996,True,,,2020-04-29 09:04:34.458000+00:00
2026.04.13,mp-1147741,Li4Zn(PS4)2,Li:0.26666667|P:0.13333333|S:0.53333333|Zn:0.06666667,Li;P;S;Zn,4,1,Triclinic,0.013820400083333517,2.6315,True,,,2020-04-29 14:42:43.282000+00:00
2026.04.13,mp-1176625,LiSn(SO4)2,Li:0.08333333|O:0.66666667|S:0.16666667|Sn:0.08333333,Li;O;S;Sn,4,7,Monoclinic,0.017863445000005918,2.4086,True,,,2020-04-29 15:30:40.424000+00:00
2026.04.13,mp-1176627,LiV(SO4)2,Li:0.08333333|O:0.66666667|S:0.16666667|V:0.08333333,Li;O;S;V,4,1,Triclinic,0.01896414052083628,1.8863999999999999,True,,,2021-02-06 01:09:12.977000+00:00
2026.04.13,mp-1177520,Li3SbS3,Li:0.42857143|S:0.42857143|Sb:0.14285714,Li;S;Sb,3,160,Trigonal,0.03522362928571354,2.7451999999999996,True,,,2021-02-10 17:20:02.662000+00:00
2026.04.13,mp-1177695,Li3CuS2,Cu:0.16666667|Li:0.50000000|S:0.33333333,Cu;Li;S,3,72,Orthorhombic,0.0,2.3028999999999997,True,,,2021-03-13 18:50:58.188000+00:00
2026.04.13,mp-1178011,Li2Fe2(SO4)3,Fe:0.10526316|Li:0.10526316|O:0.63157895|S:0.15789474,Fe;Li;O;S,4,61,Orthorhombic,0.02170364236841138,4.1795,True,,,2019-01-11 07:19:00.019000+00:00
2026.04.13,mp-1181012,Li4Re6S11,Li:0.19047619|Re:0.28571429|S:0.52380952,Li;Re;S,3,56,Orthorhombic,0.0,1.725,True,,,2022-01-01 03:15:01.094000+00:00
2026.04.13,mp-1188124,LiAl(PS3)2,Al:0.10000000|Li:0.10000000|P:0.20000000|S:0.60000000,Al;Li;P;S,4,15,Monoclinic,0.0,2.749142152725869,False,icsd-425979,,2021-02-05 14:21:52.662000+00:00
2026.04.13,mp-1188392,LiInS2,In:0.25000000|Li:0.25000000|S:0.50000000,In;Li;S,3,33,Orthorhombic,0.0,2.1957600466486826,False,icsd-53093,pf-29662;pf-32132;pf-36125;pf-7863;pf-8561,2021-03-13 12:04:57.132000+00:00
2026.04.13,mp-1188784,Li2CdSnS4,Cd:0.12500000|Li:0.25000000|S:0.50000000|Sn:0.12500000,Cd;Li;S;Sn,4,31,Orthorhombic,0.0,1.9346545269162678,False,icsd-249873,pf-30981,2021-02-04 20:51:23.062000+00:00
